input,value
58,16.00
62,504.88
54,22.04
58,16.70
62,507.06
54,22.36
58,17.00
62,508.24
54,23.00
58,17.02
62,507.28
54,23.00
58,16.50
62,502.20
54,21.98
58,16.92
62,508.68
54,23.00
58,17.00
62,502.18
54,21.88
58,16.56
62,508.40
54,23.04
58,17.02
62,505.94
54,22.00
58,16.00
62,505.72
54,22.92
58,17.00
62,506.08
54,21.72
58,16.30
62,508.10
54,23.00
58,16.88
62,501.14
54,21.88
58,16.18
62,507.12
54,23.02
58,17.02
62,505.26
54,21.52
58,16.00
62,505.46
54,22.24
58,17.00
62,509.20
54,23.02
58,17.00
62,504.14
54,21.44
58,16.02
62,507.34
54,23.00
58,17.00
62,506.18
54,21.96
58,16.00
62,505.00
54,22.42
58,17.00
62,508.48
54,23.00
58,17.00
62,504.92
54,21.44
58,16.00
62,505.92
54,22.98
58,17.00
62,507.24
54,23.00
58,16.74
62,501.42
54,21.86
58,16.44
62,507.86
54,23.00
58,17.00
62,506.46
54,22.80
58,16.04
62,502.42
54,22.00
58,16.60
62,508.48
54,23.04
58,17.00
62,506.04
54,22.96
58,16.36
62,501.08
54,21.04
58,16.00
62,503.34
54,21.98
58,16.00
62,505.50
54,22.00
58,16.00
62,505.58
54,21.98
58,16.00
62,502.68
54,21.00
58,16.04
62,505.80
54,23.54
58,200.38
62,347.20
54,23.02
58,218.00
62,343.28
54,23.00
58,222.60
62,341.94
54,23.02
58,225.00
62,341.14
54,23.00
58,227.02
62,340.70
54,22.00
58,228.62
62,340.10
54,22.42
58,229.24
62,339.06
54,23.00
58,230.26
62,339.26
54,21.14
58,230.84
62,338.26
54,23.04
58,231.30
62,338.28
54,22.00
58,232.04
62,338.32
54,22.96
58,233.18
62,338.40
54,21.70
58,233.88
62,337.98
54,22.42
58,234.22
62,337.92
54,23.02
58,234.26
62,337.38
54,21.98
58,234.00
62,336.80
54,21.76
58,234.32
62,337.06
54,22.28
58,234.66
62,336.82
54,23.02
58,235.86
62,336.58
54,22.90
58,236.06
62,336.32
54,22.14
58,236.12
62,336.22
54,22.10
58,236.28
62,336.28
54,22.32
58,236.62
62,336.30
54,23.00
58,237.18
62,335.96
54,22.94
58,237.24
62,335.64
54,23.00
58,237.60
62,335.58
54,23.00
58,237.54
62,335.60
54,22.98
58,238.48
62,336.10
54,22.96
58,238.98
62,335.66
54,22.48
58,238.86
62,335.62
54,21.78
58,238.94
62,335.48
54,22.28
58,238.96
62,335.50
54,22.92
58,239.12
62,335.42
54,23.00
58,239.60
62,335.16
54,23.02
58,239.66
62,334.92
54,22.94
58,239.84
62,334.78
54,22.94
58,240.02
62,334.80
54,23.00
58,240.18
62,335.08
54,23.00
58,240.12
62,334.74
54,22.74
58,240.00
62,334.78
54,21.94
58,240.62
62,334.50
54,22.32
58,240.60
62,334.50
54,23.00
58,240.74
62,334.62
54,22.32
58,240.26
62,334.20
54,22.00
58,240.74
62,333.82
54,22.92
58,240.88
62,334.42
54,22.84
58,240.98
62,334.52
54,21.50
58,241.06
62,334.20
54,22.58
58,241.58
62,334.28
54,23.00
58,241.66
62,334.38
54,21.56
58,241.72
62,334.06
54,22.08
58,241.92
62,333.84
54,22.98
58,242.04
62,334.16
54,22.50
58,241.88
62,333.68
54,22.94
58,242.24
62,334.10
54,21.16
58,241.52
62,333.58
54,23.00
58,242.02
62,333.70
54,23.00
58,242.44
62,333.98
54,22.00
58,242.66
62,334.06
54,21.74
58,242.84
62,333.86
54,23.00
58,242.76
62,333.84
54,22.96
58,243.14
62,334.10
54,22.98
58,243.32
62,334.16
54,22.36
58,243.56
62,334.20
54,22.00
58,243.64
62,333.78
54,21.66
58,243.10
62,333.52
54,22.80
58,242.76
62,333.30
54,23.00
58,243.78
62,333.66
54,23.00
58,243.82
62,333.66
54,23.00
58,243.96
62,333.82
54,23.94
58,244.48
62,333.60
54,23.00
58,244.00
62,333.68
54,23.00
58,244.04
62,333.64
54,22.86
58,244.26
62,333.68
54,22.10
58,244.54
62,333.76
54,22.00
58,244.74
62,333.80
54,21.00
58,244.58
62,333.70
54,21.00
58,244.68
62,333.70
54,21.00
58,244.70
62,333.64
54,21.54
58,244.76
62,333.60
54,23.00
58,244.82
62,333.46
54,23.66
58,244.98
62,333.46
54,23.32
58,244.98
62,333.52
54,22.56
58,245.22
62,333.64
54,21.68
58,244.78
62,332.74
54,23.00
58,244.70
62,332.72
54,23.38
58,245.04
62,332.66
54,23.00
58,244.80
62,332.54
54,22.90
58,245.32
62,332.96
54,22.18
58,245.42
62,332.86
54,21.88
58,245.54
62,332.42
54,23.96
58,244.88
62,332.24
54,23.02
58,245.02
62,332.68
54,21.98
58,245.02
62,332.54
54,22.50
58,244.96
62,332.68
54,23.00
58,245.92
62,332.66
54,23.60
58,246.02
62,332.30
54,23.00
58,245.38
62,332.38
54,22.90
58,245.46
62,332.48
54,21.00
58,245.52
62,332.54
54,21.86
58,245.62
62,332.56
54,22.00
58,245.76
62,332.90
54,22.00
58,245.94
62,332.72
54,22.54
58,245.80
62,332.44
54,23.00
58,245.98
62,332.52
54,23.00
58,245.96
62,332.56
54,23.14
58,245.46
62,331.78
54,23.00
58,245.72
62,332.20
54,23.00
58,245.90
62,332.32
54,23.04
58,245.54
62,331.74
54,23.00
58,245.12
62,331.66
54,23.00
58,246.00
62,332.04
54,23.00
58,245.94
62,331.94
54,23.26
58,246.10
62,331.72
54,23.00
58,245.96
62,332.06
54,21.04
58,246.04
62,332.24
54,22.00
58,245.84
62,331.64
54,22.90
58,245.48
62,331.68
54,23.56
58,246.96
62,331.66
54,23.98
58,246.78
62,331.70
54,23.72
58,247.68
62,332.12
54,24.16
58,247.20
62,331.72
54,23.62
58,247.26
62,331.58
54,21.90
58,246.48
62,331.46
54,23.00
58,246.22
62,331.56
54,22.98
58,246.70
62,331.88
54,23.00
58,247.28
62,332.48
54,24.20
58,247.54
62,331.82
54,22.98
58,247.08
62,331.64
54,23.00
58,246.32
62,331.76
54,23.00
58,247.08
62,331.54
54,23.60
58,246.48
62,331.40
54,21.92
58,246.82
62,331.56
54,23.00
58,246.88
62,331.64
54,22.02
58,247.26
62,331.76
54,22.78
58,247.02
62,331.68
54,21.92
58,246.76
62,331.34
54,23.00
58,246.56
62,331.54
54,21.62
58,246.58
62,331.52
54,22.84
58,247.64
62,331.88
54,22.78
58,247.46
62,332.00
54,23.00
58,247.94
62,331.90
54,21.90
58,16.00
62,260.26
54,23.00
58,17.00
